z (m),p (Pa),U (m/s),T (K),H,H2,O,O2,H2O,OH,H2O2,HO2,AR,N2
0.0,101325.0,2.2863223623771054,300.0,-4.418770078122318e-18,0.02851020963457581,-5.495948828945072e-16,0.22627648869349073,1.3739221209262312e-18,7.09068655442565e-16,-1.0657401113492825e-15,-4.513956709016592e-15,-3.48443085928954e-20,0.7452133016719389
0.006,101325.0,2.2863223623771467,300.0000000000056,2.546617900510887e-21,0.028510209634575744,-4.689536791586477e-16,0.22627648869348987,6.571331806666369e-16,5.147709519180323e-18,-1.065554764095239e-15,-3.623593185104385e-15,1.1596046194580809e-19,0.7452133016719389
0.012,101325.0,2.286322362377137,300.00000000000426,-7.51647921596695e-22,0.02851020963457576,-3.99462508453723e-16,0.22627648869349012,5.876937169791138e-16,-5.493447409955406e-19,-1.0643434968377134e-15,-3.8859087334370144e-15,1.507246683281513e-18,0.7452133016719389
0.015,101325.0,2.286322362377129,300.0000000000035,-8.482271765289547e-22,0.02851020963457565,-3.696573832072804e-16,0.2262764886934903,5.483323826392869e-16,-5.926491727051336e-19,-1.0670041424608601e-15,-4.036998028795943e-15,-1.5265013198905578e-18,0.745213301671939
0.0165,101325.0,2.2863223623770415,300.00000000000324,-6.9338966373291e-22,0.028510209634571786,-3.542389198805904e-16,0.2262764886934914,5.315709464111957e-16,-5.303393663766604e-19,-1.0667089325749999e-15,-4.097548182791608e-15,-1.1872311278142427e-18,0.7452133016719418
0.018,101325.0,2.2863223623732356,300.0000000000048,-8.435658425930186e-22,0.028510209634398785,-3.408485758229359e-16,0.2262764886935377,5.127808249459365e-16,-5.661279678752336e-19,-1.0685296199512877e-15,-4.171695734591277e-15,-3.2740584188083233e-18,0.7452133016720686
0.018749999999999996,101325.0,2.2863223623091833,300.00000000006145,9.845763305027887e-22,0.028510209631476848,-3.262783168426758e-16,0.22627648869431846,5.244673117038452e-16,1.7153270811667873e-20,-1.0582542338193752e-15,-4.1233642149530115e-15,8.402578438396156e-18,0.7452133016742097
0.019124999999999996,101325.0,2.2863223617550785,300.00000000092246,-5.212874658824799e-21,0.028510209606071743,-3.2671950614295306e-16,0.2262764887011072,6.401683154352881e-16,-1.803123905295213e-18,-1.0711490562769463e-15,-4.233832707334273e-15,-8.303238828533303e-18,0.7452133016928261
0.019499999999999997,101325.0,2.2863223552040557,300.00000001871007,4.777367299287707e-21,0.028510209303086797,-1.7157421221347317e-16,0.22627648878206813,4.8542795496836776e-15,1.1476177646290183e-18,-9.967726262757125e-16,-3.733195884776062e-15,1.1143072276543053e-17,0.7452133019148451
0.019874999999999997,101325.0,2.2863222782578565,300.0000003859624,3.957617864552158e-21,0.028510205689645487,2.9156490418694427e-15,0.22627648974758022,1.325730550294204e-13,4.267454453711226e-18,9.420924141320294e-16,8.945137672708657e-15,3.957461495962955e-18,0.7452133045626289
0.020062499999999997,101325.0,2.2863219336672715,300.00000327537145,8.742671023617227e-20,0.028510189077573474,2.893895505616316e-14,0.22627649418584686,1.6063047512577894e-12,7.059041143272837e-17,2.563886345584862e-14,1.6779310441011445e-13,2.4592910867935628e-17,0.7452133167347511
0.020249999999999997,101325.0,2.286319802593686,300.00003454896375,1.5246566066962276e-18,0.028510081712888116,3.282848768225526e-13,0.22627652286287575,2.477182344935487e-11,1.7435465130507532e-15,4.5117410837793044e-13,2.874806505112354e-12,-1.2038352675664149e-17,0.7452133953958082
